               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.036159,             0.01797,                   0,             0.79994,             0.79972,             0.68744,             0.18668,            0.033813,           0.0070946,                   0,             0.00144,             0.00144,             0.03014
                 119,            0.031522,            0.016369,                   0,              0.6363,                 0.7,             0.60407,             0.14176,            0.035064,           0.0071115,                   0,             0.00141,             0.00141,             0.02951
                 120,            0.034359,            0.017418,                   0,             0.63608,                 0.7,             0.65111,              0.1307,            0.036462,           0.0070311,                   0,           0.0013804,           0.0013804,             0.02888
                 121,            0.038352,            0.016713,                   0,              0.5832,             0.69965,             0.53655,             0.16475,            0.033507,           0.0066757,                   0,           0.0013512,           0.0013512,            0.028251
                 122,            0.033526,            0.017681,                   0,             0.58298,                 0.7,             0.56537,             0.13739,            0.036139,           0.0068336,                   0,           0.0013226,           0.0013226,            0.027623
                 123,            0.037221,            0.015394,                   0,              0.6363,                 0.7,             0.59723,             0.16655,            0.031443,           0.0068226,                   0,           0.0012945,           0.0012945,            0.026994
                 124,            0.034769,            0.016157,                   0,             0.54539,                 0.6,             0.47094,             0.17612,            0.033006,           0.0066814,                   0,           0.0012669,           0.0012669,            0.026367
                 125,            0.034188,            0.016421,                   0,             0.63603,                 0.7,             0.55854,             0.18097,            0.032701,           0.0066382,                   0,           0.0012401,           0.0012401,             0.02574
                 126,            0.038272,            0.017035,                   0,             0.58261,                 0.7,             0.52932,             0.14599,            0.035046,           0.0066187,                   0,           0.0012139,           0.0012139,            0.025114
                 127,            0.034805,            0.014888,                   0,             0.58305,                 0.7,             0.55786,             0.15537,            0.033025,           0.0068824,                   0,           0.0011884,           0.0011884,            0.024488
                 128,            0.033323,             0.01697,                   0,             0.58313,                 0.7,             0.54608,             0.15547,            0.034397,           0.0069647,                   0,           0.0011637,           0.0011637,            0.023864
                 129,            0.027855,            0.015374,                   0,              0.6665,                 0.8,             0.68793,             0.19831,            0.032433,           0.0071176,                   0,           0.0011398,           0.0011398,             0.02324
                 130,            0.034132,            0.018962,                   0,             0.58302,                 0.7,              0.5053,             0.13915,            0.034802,           0.0072342,                   0,           0.0011168,           0.0011168,            0.022617
                 131,            0.032631,            0.016295,                   0,             0.58327,             0.69983,             0.52367,             0.17376,             0.03447,           0.0071438,                   0,           0.0010947,           0.0010947,            0.021995
                 132,            0.030537,             0.01584,                   0,             0.58333,             0.69999,             0.50899,             0.19013,            0.034564,           0.0071843,                   0,           0.0010736,           0.0010736,            0.021374
